Time: 08:50:23.444651| SYSTEM   | Connect events done
Time: 08:50:23.608737| SYSTEM   | Pictures init done
Time: 08:50:23.610736| SYSTEM   | Frame initialized and ready
Time: 08:50:36.684894| DEBUG    | func: 9| mode: 1| size: 15| data: XBee Start Task
Time: 08:50:36.694087| LOG      | [INFO]: received: XBee Start Task
Time: 08:52:00.587275| DEBUG    | func: 9| mode: 1| size: 15| data: XBee Start Task
Time: 08:52:00.673428| LOG      | [INFO]: received: XBee Start Task
Time: 08:52:05.251319| DEBUG    | func: 9| mode: 1| size: 15| data: XBee Start Task
Time: 08:52:05.306404| LOG      | [INFO]: received: XBee Start Task
Time: 08:52:05.354305| DEBUG    | func: 9| mode: 1| size: 16| data: PWM initialized\n
Time: 08:52:05.407429| LOG      | [INFO]: received: PWM initialized\n
Time: 08:52:05.457620| DEBUG    | func: 9| mode: 1| size: 11| data: Init IMU...
Time: 08:52:05.508184| LOG      | [INFO]: received: Init IMU...
Time: 08:52:05.558783| DEBUG    | func: 9| mode: 1| size: 14| data:   Version: 0x5
Time: 08:52:05.609402| LOG      | [INFO]: received:   Version: 0x5
Time: 08:52:05.661813| DEBUG    | func: 9| mode: 1| size: 11| data:   Offsets: 
Time: 08:52:05.710582| LOG      | [INFO]: received:   Offsets: 
Time: 08:52:05.764967| DEBUG    | func: 9| mode: 1| size: 17| data:     roll:  10.630
Time: 08:52:05.811575| LOG      | [INFO]: received:     roll:  10.630
Time: 08:52:05.867994| DEBUG    | func: 9| mode: 1| size: 17| data:     pitch: 52.441
Time: 08:52:05.912443| LOG      | [INFO]: received:     pitch: 52.441
Time: 08:52:05.971200| DEBUG    | func: 9| mode: 1| size: 17| data:     yaw:   30.900
Time: 08:52:06.013664| LOG      | [INFO]: received:     yaw:   30.900
Time: 08:52:06.074437| DEBUG    | func: 9| mode: 1| size: 4| data: done
Time: 08:52:06.114667| LOG      | [INFO]: received: done
Time: 08:52:36.382769| DEBUG    | func: 9| mode: 1| size: 11| data: update (1s)
Time: 08:52:36.439177| LOG      | [INFO]: received: update (1s)
Time: 08:52:36.486168| DEBUG    | func: 6| mode: 1| size: 4| data: 0.0
Time: 08:52:36.540171| SENSOR   | Yaw value received: 0.0
Time: 08:52:36.540171| SYSTEM   | Changed compass orientation
Time: 08:52:36.588874| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 08:52:36.641040| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 08:52:36.691247| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 08:52:36.742274| SENSOR   | Servo voile value received: 150.0
Time: 08:52:36.794715| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 08:52:36.843052| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 08:52:36.897644| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 08:52:36.944075| SENSOR   | Servo safran value received: 103.0
Time: 08:52:40.139567| DEBUG    | func: 9| mode: 1| size: 11| data: update (2s)
Time: 08:52:40.167329| LOG      | [INFO]: received: update (2s)
Time: 08:52:40.243084| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
